short_name,nationality,overall,player_positions
Cristiano Ronaldo,Portugal,94,"LW, LM, ST"
L. Messi,Argentina,93,RW
Neymar,Brazil,92,LW
M. Neuer,Germany,92,GK
L. Suárez,Uruguay,92,ST
De Gea,Spain,90,GK
Z. Ibrahimović,Sweden,90,ST
G. Bale,Wales,90,RW
J. Boateng,Germany,90,CB
R. Lewandowski,Poland,90,ST
T. Courtois,Belgium,89,GK
M. Özil,Germany,89,"CAM, LW"
S. Agüero,Argentina,89,ST
Sergio Ramos,Spain,89,CB
Thiago Silva,Brazil,89,CB
L. Modrić,Croatia,89,"CM, CDM"
P. Pogba,France,88,"CM, CDM, CAM"
A. Griezmann,France,88,"ST, RW, LW"
K. De Bruyne,Belgium,88,"CAM, RM, LM"
T. Kroos,Germany,88,"CM, CDM"
E. Hazard,Belgium,88,"LM, CAM, LW"
G. Buffon,Italy,88,GK
P. Čech,Czech Republic,88,GK
Pepe,Portugal,88,CB
P. Lahm,Germany,88,"RB, CDM, CM"
G. Chiellini,Italy,88,CB
G. Higuaín,Argentina,88,ST
H. Lloris,France,88,GK
D. Godín,Uruguay,88,CB
M. Reus,Germany,88,"LM, CAM"
J. Rodríguez,Colombia,87,"CAM, CM, RM"
J. Oblak,Slovenia,87,GK
D. Alaba,Austria,87,"LB, CB, CM"
Sergio Busquets,Spain,87,CDM
T. Müller,Germany,87,"CF, RW, CAM, ST"
A. Robben,Netherlands,87,"RM, RW"
S. Handanovič,Slovenia,87,GK
K. Benzema,France,87,ST
David Silva,Spain,87,"CAM, LM"
I. Rakitić,Croatia,87,CM
M. Hummels,Germany,87,CB
A. Vidal,Chile,87,"CM, CDM"
A. Di María,Argentina,87,"RW, CM, CAM"
L. Bonucci,Italy,87,CB
A. Sánchez,Chile,87,"LW, LM, RW"
B. Leno,Germany,86,GK
P. Aubameyang,Gabon,86,"ST, RM"
Jordi Alba,Spain,86,LB
A. Barzagli,Italy,86,CB
V. Kompany,Belgium,86,CB
Santi Cazorla,Spain,86,"CAM, CM, CDM"
Piqué,Spain,86,CB
F. Ribéry,France,86,LM
Cesc Fàbregas,Spain,86,"CM, CAM"
Miranda,Brazil,86,CB
B. Matuidi,France,86,"CDM, CM"
