short_name,nationality,overall,player_positions
Cristiano Ronaldo,Portugal,94,"LW, ST"
L. Messi,Argentina,93,RW
Neymar,Brazil,92,LW
M. Neuer,Germany,92,GK
L. Suárez,Uruguay,92,ST
R. Lewandowski,Poland,91,ST
De Gea,Spain,90,GK
E. Hazard,Belgium,90,LW
Sergio Ramos,Spain,90,CB
G. Higuaín,Argentina,90,ST
T. Kroos,Germany,90,"CM, CDM"
T. Courtois,Belgium,89,GK
K. De Bruyne,Belgium,89,"CAM, CM, RM"
G. Buffon,Italy,89,GK
G. Chiellini,Italy,89,CB
S. Agüero,Argentina,89,ST
G. Bale,Wales,89,RW
L. Modrić,Croatia,89,"CM, CDM"
A. Sánchez,Chile,89,"LM, ST, LW, RM"
J. Oblak,Slovenia,88,GK
P. Dybala,Argentina,88,"CAM, ST"
A. Griezmann,France,88,"ST, RW, LW"
Thiago,Spain,88,"CM, CAM, CDM"
A. Robben,Netherlands,88,"RM, RW"
Z. Ibrahimović,Sweden,88,ST
Thiago Silva,Brazil,88,CB
H. Lloris,France,88,GK
M. Özil,Germany,88,"CAM, RW"
M. Hummels,Germany,88,CB
D. Godín,Uruguay,88,CB
J. Boateng,Germany,88,CB
L. Bonucci,Italy,88,CB
P. Aubameyang,Gabon,88,ST
P. Pogba,France,87,"CM, CDM"
C. Eriksen,Denmark,87,"CAM, RM, LM"
M. Verratti,Italy,87,"CM, CDM"
N. Kanté,France,87,"CDM, CM"
Piqué,Spain,87,CB
S. Handanovič,Slovenia,87,GK
David Silva,Spain,87,"CAM, CM, LM"
I. Rakitić,Croatia,87,CM
M. Hamšík,Slovakia,87,CM
Marcelo,Brazil,87,LB
E. Cavani,Uruguay,87,ST
A. Vidal,Chile,87,"CDM, CM"
R. Lukaku,Belgium,86,ST
Isco,Spain,86,"CM, CAM, RM, LM"
H. Kane,England,86,ST
Coutinho,Brazil,86,"LW, CAM"
J. Rodríguez,Colombia,86,"CAM, CM, RM"
Alex Sandro,Brazil,86,"LB, LM"
D. Alaba,Austria,86,"LB, CB, CM"
T. Alderweireld,Belgium,86,CB
P. Čech,Czech Republic,86,GK
Pepe,Portugal,86,CB
F. Ribéry,France,86,"LM, LW"
Cesc Fàbregas,Spain,86,"CM, CDM, CAM"
K. Benzema,France,86,ST
Miranda,Brazil,86,CB
Sokratis,Greece,86,CB
D. Mertens,Belgium,86,"CF, LW, ST"
Javi Martínez,Spain,86,"CB, CDM"
R. Nainggolan,Belgium,86,"CM, CAM"
Diego Costa,Spain,86,ST
David Luiz,Brazil,86,CB
M. Reus,Germany,86,"LM, ST, LW"
Sergio Busquets,Spain,86,"CDM, CM"
T. Müller,Germany,86,"CF, RW, CAM, ST"
R. Varane,France,85,CB
Y. Carrasco,Belgium,85,"LM, RM"
M. ter Stegen,Germany,85,GK
Casemiro,Brazil,85,CDM
B. Leno,Germany,85,GK
A. Lacazette,France,85,ST
Azpilicueta,Spain,85,"CB, RB, LB"
I. Gündoğan,Germany,85,"CM, CDM"
M. Pjanić,Bosnia Herzegovina,85,"CM, CDM"
L. Insigne,Italy,85,LW
A. Barzagli,Italy,85,CB
V. Kompany,Belgium,85,CB
Filipe Luís,Brazil,85,LB
S. Ruffier,France,85,GK
B. Matuidi,France,85,"CDM, CM"
