short_name,nationality,overall,player_positions
Cristiano Ronaldo,Portugal,94,"ST, LW"
L. Messi,Argentina,94,"CF, RW, ST"
Neymar Jr,Brazil,92,"LW, CAM"
De Gea,Spain,91,GK
K. De Bruyne,Belgium,91,"CAM, CM"
Sergio Ramos,Spain,91,CB
L. Suárez,Uruguay,91,ST
L. Modrić,Croatia,91,"CM, CDM"
E. Hazard,Belgium,91,"LW, CF"
J. Oblak,Slovenia,90,GK
T. Courtois,Belgium,90,GK
M. Neuer,Germany,90,GK
D. Godín,Uruguay,90,CB
T. Kroos,Germany,90,"CM, CDM"
R. Lewandowski,Poland,90,ST
P. Dybala,Argentina,89,"CAM, ST, CF"
M. ter Stegen,Germany,89,GK
Isco,Spain,89,"CAM, CM, LW"
H. Kane,England,89,ST
A. Griezmann,France,89,ST
N. Kanté,France,89,"CDM, CM"
G. Chiellini,Italy,89,CB
S. Agüero,Argentina,89,ST
David Silva,Spain,89,"CAM, CM"
M. Hummels,Germany,89,CB
E. Cavani,Uruguay,89,ST
C. Eriksen,Denmark,88,"CAM, RM, CM"
P. Pogba,France,88,"CM, CDM"
Casemiro,Brazil,88,CDM
Coutinho,Brazil,88,"LW, RW, CM"
J. Rodríguez,Colombia,88,"CAM, CM, RM"
M. Salah,Egypt,88,RW
G. Buffon,Italy,88,GK
S. Handanovič,Slovenia,88,GK
Thiago Silva,Brazil,88,CB
G. Higuaín,Argentina,88,ST
H. Lloris,France,88,GK
G. Bale,Wales,88,"RW, ST"
Marcelo,Brazil,88,LB
Sergio Busquets,Spain,88,"CDM, CM"
L. Insigne,Italy,88,LW
K. Mbappé,France,87,"RW, ST, RM"
S. Umtiti,France,87,CB
K. Koulibaly,Senegal,87,CB
M. Icardi,Argentina,87,ST
R. Lukaku,Belgium,87,ST
Piqué,Spain,87,CB
I. Rakitić,Croatia,87,CM
M. Hamšík,Slovakia,87,CM
J. Vertonghen,Belgium,87,CB
D. Mertens,Belgium,87,"CF, ST"
A. Sánchez,Chile,87,"LW, LM, ST, CAM"
P. Aubameyang,Gabon,87,ST
Jordi Alba,Spain,87,LB
C. Immobile,Italy,87,ST
K. Navas,Costa Rica,87,GK
L. Sané,Germany,86,"LW, RW"
R. Varane,France,86,CB
Ederson,Brazil,86,GK
M. Verratti,Italy,86,"CM, CDM"
Roberto Firmino,Brazil,86,"CF, ST"
Azpilicueta,Spain,86,CB
S. Mané,Senegal,86,"LW, RW"
Fernandinho,Brazil,86,CDM
Naldo,Brazil,86,CB
M. Özil,Germany,86,"CAM, RM, RW"
