short_name,nationality,overall,player_positions
L. Messi,Argentina,94,"RW, CF, ST"
Cristiano Ronaldo,Portugal,93,"ST, LW"
Neymar Jr,Brazil,92,"LW, CAM"
J. Oblak,Slovenia,91,GK
E. Hazard,Belgium,91,"LW, CF"
K. De Bruyne,Belgium,91,"CAM, CM"
M. ter Stegen,Germany,90,GK
V. van Dijk,Netherlands,90,CB
L. Modrić,Croatia,90,CM
M. Salah,Egypt,90,"RW, ST"
K. Mbappé,France,89,"ST, RW"
K. Koulibaly,Senegal,89,CB
H. Kane,England,89,ST
Alisson,Brazil,89,GK
De Gea,Spain,89,GK
N. Kanté,France,89,"CDM, CM"
G. Chiellini,Italy,89,CB
S. Agüero,Argentina,89,ST
Sergio Ramos,Spain,89,CB
L. Suárez,Uruguay,89,ST
R. Lewandowski,Poland,89,ST
Sergio Busquets,Spain,89,"CDM, CM"
A. Griezmann,France,89,"CF, ST, LW"
P. Dybala,Argentina,88,"CAM, RW"
P. Pogba,France,88,"CM, CDM"
Ederson,Brazil,88,GK
R. Sterling,England,88,"RW, LW"
C. Eriksen,Denmark,88,"CAM, CM"
T. Courtois,Belgium,88,GK
Piqué,Spain,88,CB
S. Handanovič,Slovenia,88,GK
M. Neuer,Germany,88,GK
H. Lloris,France,88,GK
David Silva,Spain,88,"CAM, CM"
E. Cavani,Uruguay,88,ST
D. Godín,Uruguay,88,CB
T. Kroos,Germany,88,CM
M. Reus,Germany,88,"CAM, LM, ST"
P. Aubameyang,Gabon,88,"ST, LM"
S. Mané,Senegal,88,"LW, LM"
A. Laporte,France,87,"CB, LB"
Bernardo Silva,Portugal,87,"RW, CAM, CM"
Casemiro,Brazil,87,CDM
H. Son,Korea Republic,87,"CF, LM"
Fernandinho,Brazil,87,CDM
Thiago Silva,Brazil,87,CB
K. Benzema,France,87,"CF, ST"
J. Vertonghen,Belgium,87,CB
D. Mertens,Belgium,87,"CF, ST"
M. Hummels,Germany,87,CB
T. Alderweireld,Belgium,87,CB
Jordi Alba,Spain,87,LB
