short_name,nationality,overall,player_positions
L. Messi,Argentina,93,CF
Cristiano Ronaldo,Portugal,92,"LW, LM"
A. Robben,Netherlands,90,"RM, LM, RW"
Z. Ibrahimović,Sweden,90,ST
M. Neuer,Germany,90,GK
L. Suárez,Uruguay,89,"ST, CF"
E. Hazard,Belgium,88,"LM, RM"
R. van Persie,Netherlands,88,ST
B. Schweinsteiger,Germany,88,"CM, CDM"
F. Ribéry,France,88,LM
Falcao,Colombia,88,ST
G. Bale,Wales,87,"RM, RW"
R. Lewandowski,Poland,87,"ST, CF"
P. Lahm,Germany,87,"CDM, RB, CM"
Sergio Ramos,Spain,87,CB
Thiago Silva,Brazil,87,CB
David Silva,Spain,87,"LM, CAM"
L. Modrić,Croatia,87,"CM, CDM"
J. Rodríguez,Colombia,86,"CAM, RW"
Neymar,Brazil,86,LW
T. Courtois,Belgium,86,GK
M. Hummels,Germany,86,CB
A. Di María,Argentina,86,"CAM, CM, RM"
M. Reus,Germany,86,"LM, RM, ST, CAM"
T. Müller,Germany,86,"RM, CAM, ST, LM"
S. Agüero,Argentina,86,ST
M. Özil,Germany,86,"CAM, LW"
Xavi,Spain,86,CM
Y. Touré,Ivory Coast,86,"CM, CDM"
W. Rooney,England,86,"ST, CF, CAM"
V. Kompany,Belgium,86,CB
M. Götze,Germany,85,"CAM, CF, CM, RM"
Sergio Busquets,Spain,85,"CDM, CM"
T. Kroos,Germany,85,"CM, CDM, CAM"
K. Benzema,France,85,ST
E. Cavani,Uruguay,85,"ST, RW"
Diego Costa,Spain,85,ST
A. Vidal,Chile,85,"CM, CDM"
H. Lloris,France,85,GK
Javi Martinez,Spain,85,"CB, CDM, CM"
Juan Mata,Spain,85,"CAM, RM"
J. Boateng,Germany,85,"CB, RB"
P. Čech,Czech Republic,85,GK
C. Tévez,Argentina,85,"ST, CF"
Piqué,Spain,84,CB
A. Turan,Turkey,84,"LM, RM, CAM"
A. Sánchez,Chile,84,"RW, ST"
Oscar,Brazil,84,"CAM, RM"
S. Nasri,France,84,"LM, RM"
M. Benatia,Morocco,84,CB
S. Khedira,Germany,84,"CDM, CM"
G. Higuaín,Argentina,84,ST
S. Sirigu,Italy,84,GK
Casillas,Spain,84,GK
A. Pirlo,Italy,84,"CM, CDM"
Xabi Alonso,Spain,84,"CDM, CM"
D. De Rossi,Italy,84,CDM
G. Chiellini,Italy,84,CB
W. Sneijder,Netherlands,84,"CAM, CM, LM"
Santi Cazorla,Spain,84,"LM, CAM, RM"
K. Huntelaar,Netherlands,84,ST
Cesc Fàbregas,Spain,84,"CM, CAM"
D. Godín,Uruguay,84,CB
P. Pogba,France,83,"CM, CAM"
Isco,Spain,83,"CAM, CM, LM, CDM"
I. Gündoğan,Germany,83,"CM, CDM, CAM"
De Gea,Spain,83,GK
